order_id,customer_id,order_date,updated_at,amount,currency,status,country
ORD-1000,C043,2026-08-01,2026-08-01T00:00:00Z,546.09,USD,completed,DE
ORD-1001,C052,2026-08-01,2026-08-01T07:13:00Z,862.08,EUR,completed,DE
ORD-1002,C039,2026-08-01,2026-08-01T14:26:00Z,795.02,EUR,completed,ES
ORD-1003,C033,2026-08-01,2026-08-01T21:39:00Z,131.11,USD,completed,DE
ORD-1004,C059,2026-08-01,2026-08-01T04:52:00Z,513.54,EUR,completed,DE
ORD-1005,C017,2026-08-01,2026-08-01T11:05:00Z,886.03,USD,shipped,BR
ORD-1006,C048,2026-08-01,2026-08-01T18:18:00Z,230.39,EUR,shipped,XX
ORD-1007,C040,2026-08-01,2026-08-01T01:31:00Z,784.53,USD,returned,BR
ORD-1008,C041,2026-08-01,2026-08-01T08:44:00Z,681.76,USD,completed,FR
ORD-1009,C029,2026-08-01,2026-08-01T15:57:00Z,18.65,EUR,completed,US
ORD-1010,C001,2026-08-01,2026-08-01T22:10:00Z,718.66,EUR,shipped,US
ORD-1011,C029,2026-08-01,2026-08-01T05:23:00Z,56.43,GBP,shipped,FR
ORD-1012,C048,2026-08-02,2026-08-02T12:36:00Z,29.3,EUR,shipped,US
ORD-1013,C046,2026-08-02,2026-08-02T19:49:00Z,157.69,GBP,completed,IN
ORD-1014,C019,2026-08-02,2026-08-02T02:02:00Z,8.82,USD,shipped,DE
ORD-1015,C027,2026-08-02,2026-08-02T09:15:00Z,712.09,usd,completed,FR
ORD-1016,C018,2026-08-02,2026-08-02T16:28:00Z,201.0,GBP,completed,DE
ORD-1017,C010,2026-08-02,2026-08-02T23:41:00Z,227.89,eur,completed,IN
ORD-1018,C028,2026-08-02,2026-08-02T06:54:00Z,576.29,GBP,completed,DE
ORD-1019,C029,2026-08-02,2026-08-02T13:07:00Z,245.59,usd,completed,FR
ORD-1020,C028,2026-08-02,2026-08-02T20:20:00Z,0,eur,shipped,BR
ORD-1021,C053,2026-08-02,2026-08-02T03:33:00Z,303.8,USD,completed,DE
ORD-1022,C036,2026-08-02,2026-08-02T10:46:00Z,151.15,EUR,completed,BR
ORD-1023,C032,2026-08-03,2026-08-03T17:59:00Z,516.88,USD,completed,BR
ORD-1024,C057,2026-08-03,2026-08-03T00:12:00Z,194.66,EUR,shipped,JP
ORD-1025,C056,2026-08-03,2026-08-03T07:25:00Z,172.16,USD,completed,DE
ORD-1026,C054,2026-08-03,2026-08-03T14:38:00Z,589.47,EUR,returned,JP
ORD-1027,C021,2026-08-03,2026-08-03T21:51:00Z,60.69,GBP,completed,FR
ORD-1028,C044,2026-08-03,2026-08-03T04:04:00Z,339.64,USD,completed,US
ORD-1029,C047,2026-08-03,2026-08-03T11:17:00Z,338.88,EUR,completed,FR
ORD-1030,C060,2026-08-03,2026-08-03T18:30:00Z,516.93,USD,completed,ES
ORD-1031,C043,2026-08-03,2026-08-03T01:43:00Z,242.5,GBP,completed,ES
ORD-1032,C024,2026-08-03,2026-08-03T08:56:00Z,419.56,EUR,completed,FR
ORD-1033,C041,2026-08-03,2026-08-03T15:09:00Z,865.63,GBP,returned,FR
ORD-1034,C030,2026-08-04,2026-08-04T22:22:00Z,135.92,EUR,shipped,IN
ORD-1035,C032,2026-08-04,2026-08-04T05:35:00Z,791.42,GBP,returned,US
ORD-1036,C043,2026-08-04,2026-08-04T12:48:00Z,18.76,usd,completed,US
ORD-1037,C012,2026-08-04,2026-08-04T19:01:00Z,596.29,USD,completed,FR
ORD-1038,C008,2026-08-04,2026-08-04T02:14:00Z,425.53,GBP,shipped,FR
ORD-1039,C042,2026-08-04,2026-08-04T09:27:00Z,647.86,GBP,returned,JP
ORD-1040,C021,2026-08-04,2026-08-04T16:40:00Z,635.93,eur,shipped,JP
ORD-1041,C014,2026-08-04,2026-08-04T23:53:00Z,828.01,GBP,completed,FR
ORD-1042,C050,2026-08-04,2026-08-04T06:06:00Z,469.45,GBP,completed,ES
ORD-1043,,2026-08-04,2026-08-04T13:19:00Z,369.69,EUR,completed,US
ORD-1044,C010,2026-08-04,2026-08-04T20:32:00Z,308.95,GBP,completed,IN
ORD-1045,C026,2026-08-05,2026-08-05T03:45:00Z,132.42,gbp,returned,IN
ORD-1046,C058,2026-08-05,2026-08-05T10:58:00Z,31.62,USD,completed,ES
ORD-1047,C008,2026-08-05,2026-08-05T17:11:00Z,641.95,USD,shipped,BR
ORD-1048,C024,2026-08-05,2026-08-05T00:24:00Z,385.89,EUR,completed,IN
ORD-1049,C054,2026-08-05,2026-08-05T07:37:00Z,192.12,USD,returned,BR
ORD-1050,C013,2026-08-05,2026-08-05T14:50:00Z,438.75,USD,completed,IN
ORD-1051,C030,2026-08-05,2026-08-05T21:03:00Z,77.54,EUR,completed,JP
ORD-1052,C022,2026-08-05,2026-08-05T04:16:00Z,55.26,EUR,returned,US
ORD-1053,C017,2026-08-05,2026-08-05T11:29:00Z,562.33,gbp,returned,DE
ORD-1054,C031,2026-08-05,2026-08-05T18:42:00Z,403.25,USD,completed,DE
ORD-1055,C046,2026-08-05,2026-08-05T01:55:00Z,669.31,USD,completed,FR
ORD-1056,C046,2026-08-06,2026-08-06T08:08:00Z,888.32,EUR,completed,US
ORD-1057,C042,2026-08-06,2026-08-06T15:21:00Z,430.45,USD,returned,DE
ORD-1058,C011,2026-08-06,2026-08-06T22:34:00Z,763.69,EUR,returned,JP
ORD-1059,C008,2026-08-06,2026-08-06T05:47:00Z,861.67,GBP,completed,ES
ORD-1060,C039,2026-08-06,2026-08-06T12:00:00Z,230.3,USD,shipped,FR
ORD-1061,C036,2026-08-06,2026-08-06T19:13:00Z,95.26,USD,returned,IN
ORD-1062,C051,2026-08-06,2026-08-06T02:26:00Z,543.32,USD,returned,IN
ORD-1063,C026,2026-08-06,2026-08-06T09:39:00Z,515.62,gbp,shipped,BR
ORD-1064,C026,2026-08-06,2026-08-06T16:52:00Z,545.07,GBP,shipped,ES
ORD-1065,C001,2026-08-06,2026-08-06T23:05:00Z,223.63,GBP,returned,US
ORD-1066,C014,2026-08-06,2026-08-06T06:18:00Z,33.27,EUR,completed,DE
ORD-1067,C026,2026-08-07,2026-08-07T13:31:00Z,677.72,usd,completed,IN
ORD-1068,C053,2026-08-07,2026-08-07T20:44:00Z,496.46,USD,completed,US
ORD-1069,C014,2026-08-07,2026-08-07T03:57:00Z,66.91,EUR,shipped,IN
ORD-1070,C030,2026-08-07,2026-08-07T10:10:00Z,709.93,GBP,completed,JP
ORD-1071,C059,2026-08-07,2026-08-07T17:23:00Z,639.78,USD,completed,ES
ORD-1072,C025,2026-08-07,2026-08-07T00:36:00Z,499.29,USD,shipped,FR
ORD-1073,C031,2026-08-07,2026-08-07T07:49:00Z,242.98,EUR,completed,US
ORD-1074,C035,2026-08-07,2026-08-07T14:02:00Z,337.19,GBP,completed,JP
ORD-1075,C025,2026-08-07,2026-08-07T21:15:00Z,83.19,GBP,returned,FR
ORD-1076,C057,2026-08-07,2026-08-07T04:28:00Z,-12.5,EUR,completed,FR
ORD-1077,C033,2026-08-07,2026-08-07T11:41:00Z,841.37,EUR,completed,U S
ORD-1078,C021,2026-08-08,2026-08-08T18:54:00Z,673.56,usd,completed,DE
ORD-1079,C029,2026-08-08,2026-08-08T01:07:00Z,598.48,GBP,completed,IN
ORD-1080,C008,2026-08-08,2026-08-08T08:20:00Z,282.01,EUR,completed,IN
ORD-1081,C054,2026-08-08,2026-08-08T15:33:00Z,38.2,EUR,completed,ES
ORD-1082,C024,2026-08-08,2026-08-08T22:46:00Z,749.5,GBP,completed,BR
ORD-1083,C056,2026-08-08,2026-08-08T05:59:00Z,290.65,EUR,shipped,BR
ORD-1084,C018,2026-08-08,2026-08-08T12:12:00Z,835.34,USD,completed,ES
ORD-1085,C041,2026-08-08,2026-08-08T19:25:00Z,855.27,GBP,completed,JP
ORD-1086,C005,2026-08-08,2026-08-08T02:38:00Z,560.17,USD,shipped,DE
ORD-1087,C042,2026-08-08,2026-08-08T09:51:00Z,310.3,USD,returned,FR
ORD-1088,C007,2026-08-08,2026-08-08T16:04:00Z,325.81,eur,completed,ES
ORD-1089,C023,2026-08-09,2026-08-09T23:17:00Z,200.26,GBP,shipped,FR
ORD-1090,C056,2026-08-09,2026-08-09T06:30:00Z,146.57,USD,completed,ES
ORD-1091,C008,2026-08-09,2026-08-09T13:43:00Z,273.8,usd,completed,IN
ORD-1092,C051,2026-08-09,2026-08-09T20:56:00Z,606.52,EUR,completed,GB
ORD-1093,C008,2026-08-09,2026-08-09T03:09:00Z,76.5,GBP,completed,DE
ORD-1094,C030,2026-08-09,2026-08-09T10:22:00Z,767.2,GBP,returned,BR
ORD-1095,C037,2026-08-09,2026-08-09T17:35:00Z,669.74,gbp,completed,IN
ORD-1096,C003,2026-08-09,2026-08-09T00:48:00Z,153.14,EUR,returned,IN
ORD-1097,C054,2026-08-09,2026-08-09T07:01:00Z,885.07,USD,completed,JP
ORD-1098,C011,2026-08-09,2026-08-09T14:14:00Z,587.53,EUR,shipped,IN
ORD-1099,C028,2026-08-09,2026-08-09T21:27:00Z,188.28,USD,completed,JP
ORD-1100,C015,2026-08-10,2026-08-10T04:40:00Z,801.7,EUR,completed,ES
ORD-1101,C059,2026-08-10,2026-08-10T11:53:00Z,875.01,GBP,completed,IN
ORD-1102,C027,2026-08-10,2026-08-10T18:06:00Z,626.67,EUR,completed,DE
ORD-1103,C047,2026-08-10,2026-08-10T01:19:00Z,176.43,USD,completed,DE
ORD-1104,C030,2026-08-10,2026-08-10T08:32:00Z,9.15,usd,completed,GB
ORD-1105,C024,2026-08-10,2026-08-10T15:45:00Z,641.8,GBP,returned,IN
ORD-1106,C007,2026-08-10,2026-08-10T22:58:00Z,400.61,GBP,completed,FR
ORD-1107,C003,2026-08-10,2026-08-10T05:11:00Z,788.24,USD,returned,IN
ORD-1108,C003,2026-08-10,2026-08-10T12:24:00Z,284.55,EUR,shipped,FR
ORD-1109,C044,2026-08-10,2026-08-10T19:37:00Z,227.42,USD,completed,DE
ORD-1110,C025,2026-08-10,2026-08-10T02:50:00Z,72.68,GBP,completed,ES
ORD-1111,C010,2026-08-10,2026-08-10T09:03:00Z,715.73,EUR,completed,US
ORD-1112,C014,2026-08-11,2026-08-11T16:16:00Z,536.99,EUR,completed,US
ORD-1113,C021,2026-08-11,2026-08-11T23:29:00Z,531.4,EUR,completed,GB
ORD-1114,C001,2026-08-11,2026-08-11T06:42:00Z,13.43,usd,completed,GB
ORD-1115,C060,2026-08-11,2026-08-11T13:55:00Z,71.03,USD,completed,ES
ORD-1116,C008,2026-08-11,2026-08-11T20:08:00Z,793.61,USD,shipped,ES
ORD-1117,C012,2026-08-11,2026-08-11T03:21:00Z,103.55,EUR,shipped,IN
ORD-1118,,2026-08-11,2026-08-11T10:34:00Z,836.99,gbp,completed,IN
ORD-1119,C039,2026-08-11,2026-08-11T17:47:00Z,292.62,GBP,completed,ES
ORD-1120,C037,2026-08-11,2026-08-11T00:00:00Z,560.19,GBP,shipped,DE
ORD-1121,C051,2026-08-11,2026-08-11T07:13:00Z,842.48,EUR,completed,IN
ORD-1122,C052,2026-08-11,2026-08-11T14:26:00Z,617.71,GBP,completed,GB
ORD-1123,C043,2026-08-12,2026-08-12T21:39:00Z,16.44,USD,completed,BR
ORD-1124,C039,2026-08-12,2026-08-12T04:52:00Z,765.32,USD,returned,IN
ORD-1125,C058,2026-08-12,2026-08-12T11:05:00Z,419.82,GBP,completed,IN
ORD-1126,C047,2026-08-12,2026-08-12T18:18:00Z,744.91,GBP,completed,GB
ORD-1127,,2026-08-12,2026-08-12T01:31:00Z,110.58,GBP,completed,GB
ORD-1128,C040,2026-08-12,2026-08-12T08:44:00Z,371.7,USD,completed,FR
ORD-1129,C010,2026-08-12,2026-08-12T15:57:00Z,806.14,GBP,completed,DE
ORD-1130,C010,2026-08-12,2026-08-12T22:10:00Z,355.64,eur,completed,DE
ORD-1131,C024,2026-08-12,2026-08-12T05:23:00Z,259.23,GBP,shipped,XX
ORD-1132,C011,2026-08-12,2026-08-12T12:36:00Z,531.12,GBP,completed,JP
ORD-1133,C058,2026-08-12,2026-08-12T19:49:00Z,520.4,EUR,returned,US
ORD-1134,C014,2026-08-13,2026-08-13T02:02:00Z,657.72,usd,completed,BR
ORD-1135,C057,2026-08-13,2026-08-13T09:15:00Z,352.38,GBP,completed,ES
ORD-1136,C007,2026-08-13,2026-08-13T16:28:00Z,489.2,EUR,shipped,BR
ORD-1137,C007,2026-08-13,2026-08-13T23:41:00Z,692.65,GBP,completed,US
ORD-1138,C036,2026-08-13,2026-08-13T06:54:00Z,130.93,USD,completed,IN
ORD-1139,C023,2026-08-13,2026-08-13T13:07:00Z,-12.5,USD,shipped,GB
ORD-1140,C010,2026-08-13,2026-08-13T20:20:00Z,151.68,USD,shipped,IN
ORD-1141,C058,2026-08-13,2026-08-13T03:33:00Z,524.37,GBP,completed,FR
ORD-1142,C045,2026-08-13,2026-08-13T10:46:00Z,212.12,EUR,shipped,US
ORD-1143,C037,2026-08-13,2026-08-13T17:59:00Z,637.12,eur,returned,FR
ORD-1144,C007,2026-08-13,2026-08-13T00:12:00Z,765.89,EUR,completed,FR
ORD-1145,C023,2026-08-14,2026-08-14T07:25:00Z,66.34,USD,returned,DE
ORD-1146,C020,2026-08-14,2026-08-14T14:38:00Z,854.06,USD,completed,US
ORD-1147,C012,2026-08-14,2026-08-14T21:51:00Z,40.77,gbp,returned,GB
ORD-1148,C059,2026-08-14,2026-08-14T04:04:00Z,400.46,gbp,completed,DE
ORD-1149,C058,2026-08-14,2026-08-14T11:17:00Z,881.35,usd,completed,JP
ORD-1150,C060,2026-08-14,2026-08-14T18:30:00Z,89.31,GBP,shipped,FR
ORD-1151,C015,2026-08-14,2026-08-14T01:43:00Z,893.65,GBP,returned,US
ORD-1152,C053,2026-08-14,2026-08-14T08:56:00Z,37.82,GBP,completed,JP
ORD-1153,C049,2026-08-14,2026-08-14T15:09:00Z,762.0,EUR,completed,GB
ORD-1154,C001,2026-08-14,2026-08-14T22:22:00Z,103.25,USD,completed,FR
ORD-1155,C010,2026-08-14,2026-08-14T05:35:00Z,217.65,USD,returned,ES
ORD-1156,C017,2026-08-15,2026-08-15T12:48:00Z,798.58,GBP,completed,US
ORD-1157,C057,2026-08-15,2026-08-15T19:01:00Z,543.72,GBP,returned,??
ORD-1158,C046,2026-08-15,2026-08-15T02:14:00Z,342.29,EUR,returned,GB
ORD-1159,C033,2026-08-15,2026-08-15T09:27:00Z,810.65,eur,shipped,JP
ORD-1160,C037,2026-08-15,2026-08-15T16:40:00Z,272.38,USD,shipped,BR
ORD-1161,C056,2026-08-15,2026-08-15T23:53:00Z,807.52,EUR,completed,GB
ORD-1162,C049,2026-08-15,2026-08-15T06:06:00Z,862.95,GBP,completed,BR
ORD-1163,C035,2026-08-15,2026-08-15T13:19:00Z,206.37,GBP,shipped,US
ORD-1164,C050,2026-08-15,2026-08-15T20:32:00Z,691.9,EUR,completed,US
ORD-1165,C003,2026-08-15,2026-08-15T03:45:00Z,878.48,GBP,returned,US
ORD-1166,C030,2026-08-15,2026-08-15T10:58:00Z,625.37,USD,completed,US
ORD-1167,C027,2026-08-16,2026-08-16T17:11:00Z,829.05,gbp,shipped,US
ORD-1168,C005,2026-08-16,2026-08-16T00:24:00Z,779.09,EUR,completed,BR
ORD-1169,C052,2026-08-16,2026-08-16T07:37:00Z,727.51,USD,completed,FR
ORD-1170,C013,2026-08-16,2026-08-16T14:50:00Z,225.44,EUR,completed,GB
ORD-1171,C021,2026-08-16,2026-08-16T21:03:00Z,724.12,GBP,completed,ES
ORD-1172,C049,2026-08-16,2026-08-16T04:16:00Z,556.89,GBP,returned,FR
ORD-1173,C007,2026-08-16,2026-08-16T11:29:00Z,149.54,GBP,shipped,GB
ORD-1174,C019,2026-08-16,2026-08-16T18:42:00Z,634.65,EUR,completed,BR
ORD-1175,C030,2026-08-16,2026-08-16T01:55:00Z,834.27,EUR,completed,GB
ORD-1176,C012,2026-08-16,2026-08-16T08:08:00Z,281.89,EUR,completed,JP
ORD-1177,C018,2026-08-16,2026-08-16T15:21:00Z,789.17,USD,completed,US
ORD-1178,C012,2026-08-17,2026-08-17T22:34:00Z,248.47,USD,shipped,GB
ORD-1179,C060,2026-08-17,2026-08-17T05:47:00Z,853.88,usd,completed,US
ORD-1180,C032,2026-08-17,2026-08-17T12:00:00Z,152.62,USD,shipped,JP
ORD-1181,C013,2026-08-17,2026-08-17T19:13:00Z,447.76,USD,completed,FR
ORD-1182,C002,2026-08-17,2026-08-17T02:26:00Z,733.07,USD,completed,US
ORD-1183,C042,2026-08-17,2026-08-17T09:39:00Z,251.09,USD,returned,FR
ORD-1184,C044,2026-08-17,2026-08-17T16:52:00Z,664.79,USD,completed,JP
ORD-1185,C010,2026-08-17,2026-08-17T23:05:00Z,397.23,USD,completed,US
ORD-1186,C038,2026-08-17,2026-08-17T06:18:00Z,379.2,EUR,completed,ES
ORD-1187,C008,2026-08-17,2026-08-17T13:31:00Z,31.01,usd,completed,DE
ORD-1188,C029,2026-08-17,2026-08-17T20:44:00Z,606.58,GBP,completed,JP
ORD-1189,C003,2026-08-18,2026-08-18T03:57:00Z,31.14,EUR,completed,ES
ORD-1190,C033,2026-08-18,2026-08-18T10:10:00Z,14.01,gbp,completed,IN
ORD-1191,C010,2026-08-18,2026-08-18T17:23:00Z,345.97,GBP,shipped,GB
ORD-1192,C032,2026-08-18,2026-08-18T00:36:00Z,202.67,USD,shipped,BR
ORD-1193,C018,2026-08-18,2026-08-18T07:49:00Z,602.97,gbp,completed,GB
ORD-1194,C058,2026-08-18,2026-08-18T14:02:00Z,354.57,GBP,completed,JP
ORD-1195,C035,2026-08-18,2026-08-18T21:15:00Z,691.89,USD,completed,BR
ORD-1196,C021,2026-08-18,2026-08-18T04:28:00Z,310.49,USD,completed,FR
ORD-1197,C014,2026-08-18,2026-08-18T11:41:00Z,323.0,USD,completed,US
ORD-1198,C026,2026-08-18,2026-08-18T18:54:00Z,677.93,EUR,completed,FR
ORD-1199,C040,2026-08-18,2026-08-18T01:07:00Z,316.28,GBP,completed,JP
ORD-1200,C028,2026-08-19,2026-08-19T08:20:00Z,0,USD,completed,JP
ORD-1201,C002,2026-08-19,2026-08-19T15:33:00Z,756.0,GBP,completed,FR
ORD-1202,C053,2026-08-19,2026-08-19T22:46:00Z,582.77,usd,shipped,DE
ORD-1203,C009,2026-08-19,2026-08-19T05:59:00Z,405.54,USD,returned,US
ORD-1204,C014,2026-08-19,2026-08-19T12:12:00Z,92.65,USD,completed,DE
ORD-1205,C058,2026-08-19,2026-08-19T19:25:00Z,316.5,EUR,completed,ES
ORD-1206,C056,2026-08-19,2026-08-19T02:38:00Z,247.74,USD,returned,JP
ORD-1207,C032,2026-08-19,2026-08-19T09:51:00Z,791.79,EUR,shipped,GB
ORD-1208,C035,2026-08-19,2026-08-19T16:04:00Z,502.46,GBP,completed,IN
ORD-1209,C004,2026-08-19,2026-08-19T23:17:00Z,890.95,GBP,shipped,ES
ORD-1210,C007,2026-08-19,2026-08-19T06:30:00Z,837.88,USD,returned,ES
ORD-1211,C028,2026-08-19,2026-08-19T13:43:00Z,786.55,USD,completed,US
ORD-1212,C042,2026-08-20,2026-08-20T20:56:00Z,229.65,USD,completed,IN
ORD-1213,C051,2026-08-20,2026-08-20T03:09:00Z,823.02,EUR,completed,US
ORD-1214,C043,2026-08-20,2026-08-20T10:22:00Z,338.5,EUR,completed,DE
ORD-1215,C044,2026-08-20,2026-08-20T17:35:00Z,154.53,eur,completed,US
ORD-1216,C009,2026-08-20,2026-08-20T00:48:00Z,304.54,GBP,completed,US
ORD-1217,C031,2026-08-20,2026-08-20T07:01:00Z,28.27,GBP,completed,BR
ORD-1218,C048,2026-08-20,2026-08-20T14:14:00Z,424.72,USD,shipped,ES
ORD-1219,C010,2026-08-20,2026-08-20T21:27:00Z,556.45,GBP,completed,IN
ORD-1220,C031,2026-08-20,2026-08-20T04:40:00Z,600.56,EUR,completed,IN
ORD-1221,C015,2026-08-20,2026-08-20T11:53:00Z,58.03,EUR,completed,JP
ORD-1222,C009,2026-08-20,2026-08-20T18:06:00Z,514.62,EUR,shipped,GB
ORD-1223,C012,2026-08-21,2026-08-21T01:19:00Z,473.4,USD,completed,US
ORD-1224,C029,2026-08-21,2026-08-21T08:32:00Z,275.31,EUR,shipped,US
ORD-1225,C035,2026-08-21,2026-08-21T15:45:00Z,-1.0,EUR,returned,US
ORD-1226,C051,2026-08-21,2026-08-21T22:58:00Z,378.96,EUR,completed,DE
ORD-1227,C031,2026-08-21,2026-08-21T05:11:00Z,326.83,EUR,completed,IN
ORD-1228,C053,2026-08-21,2026-08-21T12:24:00Z,652.07,GBP,completed,U S
ORD-1229,C011,2026-08-21,2026-08-21T19:37:00Z,785.7,usd,completed,US
ORD-1230,C040,2026-08-21,2026-08-21T02:50:00Z,415.66,USD,returned,BR
ORD-1231,C030,2026-08-21,2026-08-21T09:03:00Z,499.82,USD,completed,JP
ORD-1232,C037,2026-08-21,2026-08-21T16:16:00Z,782.47,USD,completed,DE
ORD-1233,C008,2026-08-21,2026-08-21T23:29:00Z,553.54,gbp,completed,FR
ORD-1234,C032,2026-08-22,2026-08-22T06:42:00Z,327.77,GBP,completed,US
ORD-1235,C049,2026-08-22,2026-08-22T13:55:00Z,115.25,GBP,returned,BR
ORD-1236,C001,2026-08-22,2026-08-22T20:08:00Z,855.58,GBP,completed,GB
ORD-1237,C001,2026-08-22,2026-08-22T03:21:00Z,344.61,gbp,completed,GB
ORD-1238,C050,2026-08-22,2026-08-22T10:34:00Z,506.63,GBP,completed,BR
ORD-1239,C039,2026-08-22,2026-08-22T17:47:00Z,348.86,USD,completed,JP
ORD-1240,C045,2026-08-22,2026-08-22T00:00:00Z,164.29,EUR,completed,ES
ORD-1241,C023,2026-08-22,2026-08-22T07:13:00Z,152.97,eur,completed,JP
ORD-1242,C047,2026-08-22,2026-08-22T14:26:00Z,856.75,GBP,completed,JP
ORD-1243,C026,2026-08-22,2026-08-22T21:39:00Z,431.66,USD,shipped,BR
ORD-1244,C022,2026-08-22,2026-08-22T04:52:00Z,428.16,USD,shipped,IN
ORD-1245,C008,2026-08-23,2026-08-23T11:05:00Z,170.54,GBP,completed,ES
ORD-1246,C001,2026-08-23,2026-08-23T18:18:00Z,239.25,GBP,completed,BR
ORD-1247,C051,2026-08-23,2026-08-23T01:31:00Z,699.96,EUR,returned,FR
ORD-1248,C040,2026-08-23,2026-08-23T08:44:00Z,678.29,USD,returned,GB
ORD-1249,C041,2026-08-23,2026-08-23T15:57:00Z,27.14,EUR,completed,JP
ORD-1250,C007,2026-08-23,2026-08-23T22:10:00Z,-12.5,EUR,completed,GB
ORD-1251,,2026-08-23,2026-08-23T05:23:00Z,300.45,EUR,shipped,US
ORD-1252,C030,2026-08-23,2026-08-23T12:36:00Z,89.26,USD,shipped,ES
ORD-1253,C001,2026-08-23,2026-08-23T19:49:00Z,241.22,USD,shipped,US
ORD-1254,C059,2026-08-23,2026-08-23T02:02:00Z,680.86,GBP,completed,ES
ORD-1255,C018,2026-08-23,2026-08-23T09:15:00Z,113.43,EUR,completed,JP
ORD-1256,C044,2026-08-24,2026-08-24T16:28:00Z,210.01,USD,returned,FR
ORD-1257,C011,2026-08-24,2026-08-24T23:41:00Z,864.02,GBP,completed,ES
ORD-1258,C011,2026-08-24,2026-08-24T06:54:00Z,568.27,USD,returned,BR
ORD-1259,C003,2026-08-24,2026-08-24T13:07:00Z,582.27,GBP,shipped,US
ORD-1260,C057,2026-08-24,2026-08-24T20:20:00Z,888.07,EUR,completed,GB
ORD-1261,C020,2026-08-24,2026-08-24T03:33:00Z,279.25,GBP,returned,GB
