payment_id,order_id,paid_amount,paid_at,method
PAY-5000,ORD-1000,546.09,2026-08-01T00:00:00Z,paypal
PAY-5001,ORD-1001,862.08,2026-08-01T07:13:00Z,paypal
PAY-5002,ORD-1002,795.02,2026-08-01T14:26:00Z,card
PAY-5003,ORD-1003,131.11,2026-08-01T21:39:00Z,wire
PAY-5004,ORD-1004,513.54,2026-08-01T04:52:00Z,wire
PAY-5005,ORD-1006,230.39,2026-08-01T18:18:00Z,card
PAY-5006,ORD-1007,784.53,2026-08-01T01:31:00Z,wire
PAY-5007,ORD-1009,18.65,2026-08-01T15:57:00Z,wire
PAY-5008,ORD-1010,718.66,2026-08-01T22:10:00Z,wire
PAY-5009,ORD-1011,56.43,2026-08-01T05:23:00Z,wire
PAY-5010,ORD-1012,29.3,2026-08-02T12:36:00Z,card
PAY-5011,ORD-1013,157.69,2026-08-02T19:49:00Z,card
PAY-5012,ORD-1014,8.82,2026-08-02T02:02:00Z,paypal
PAY-5013,ORD-1015,712.09,2026-08-02T09:15:00Z,card
PAY-5014,ORD-1016,201.0,2026-08-02T16:28:00Z,card
PAY-5015,ORD-1017,227.89,2026-08-02T23:41:00Z,paypal
PAY-5016,ORD-1018,576.29,2026-08-02T06:54:00Z,paypal
PAY-5017,ORD-1019,245.59,2026-08-02T13:07:00Z,wire
PAY-5018,ORD-1020,0.0,2026-08-02T20:20:00Z,card
PAY-5019,ORD-1021,303.8,2026-08-02T03:33:00Z,card
PAY-5020,ORD-1022,151.15,2026-08-02T10:46:00Z,paypal
PAY-5021,ORD-1023,516.88,2026-08-03T17:59:00Z,paypal
PAY-5022,ORD-1024,194.66,2026-08-03T00:12:00Z,card
PAY-5023,ORD-1026,589.47,2026-08-03T14:38:00Z,paypal
PAY-5024,ORD-1026,589.47,2026-08-03T14:38:00Z,card
PAY-5025,ORD-1027,60.69,2026-08-03T21:51:00Z,paypal
PAY-5026,ORD-1028,339.64,2026-08-03T04:04:00Z,card
PAY-5027,ORD-1029,338.88,2026-08-03T11:17:00Z,paypal
PAY-5028,ORD-1030,516.93,2026-08-03T18:30:00Z,paypal
PAY-5029,ORD-1031,242.5,2026-08-03T01:43:00Z,paypal
PAY-5030,ORD-1032,419.56,2026-08-03T08:56:00Z,card
PAY-5031,ORD-1033,865.63,2026-08-03T15:09:00Z,card
PAY-5032,ORD-1034,135.92,2026-08-04T22:22:00Z,card
PAY-5033,ORD-1035,791.42,2026-08-04T05:35:00Z,wire
PAY-5034,ORD-1036,13.76,2026-08-04T12:48:00Z,wire
PAY-5035,ORD-1037,596.29,2026-08-04T19:01:00Z,paypal
PAY-5036,ORD-1038,425.53,2026-08-04T02:14:00Z,card
PAY-5037,ORD-1039,647.86,2026-08-04T09:27:00Z,paypal
PAY-5038,ORD-1040,635.93,2026-08-04T16:40:00Z,paypal
PAY-5039,ORD-1041,828.01,2026-08-04T23:53:00Z,paypal
PAY-5040,ORD-1042,469.45,2026-08-04T06:06:00Z,wire
PAY-5041,ORD-1043,369.69,2026-08-04T13:19:00Z,paypal
PAY-5042,ORD-1045,127.42,2026-08-05T03:45:00Z,wire
PAY-5043,ORD-1046,31.62,2026-08-05T10:58:00Z,paypal
PAY-5044,ORD-1047,641.95,2026-08-05T17:11:00Z,wire
PAY-5045,ORD-1048,385.89,2026-08-05T00:24:00Z,paypal
PAY-5046,ORD-1049,192.12,2026-08-05T07:37:00Z,paypal
PAY-5047,ORD-1051,77.54,2026-08-05T21:03:00Z,wire
PAY-5048,ORD-1052,55.26,2026-08-05T04:16:00Z,wire
PAY-5049,ORD-1053,562.33,2026-08-05T11:29:00Z,paypal
PAY-5050,ORD-1054,403.25,2026-08-05T18:42:00Z,wire
PAY-5051,ORD-1055,669.31,2026-08-05T01:55:00Z,paypal
PAY-5052,ORD-1056,888.32,2026-08-06T08:08:00Z,wire
PAY-5053,ORD-1057,430.45,2026-08-06T15:21:00Z,card
PAY-5054,ORD-1058,763.69,2026-08-06T22:34:00Z,paypal
PAY-5055,ORD-1059,861.67,2026-08-06T05:47:00Z,wire
PAY-5056,ORD-1060,230.3,2026-08-06T12:00:00Z,wire
PAY-5057,ORD-1061,95.26,2026-08-06T19:13:00Z,paypal
PAY-5058,ORD-1062,543.32,2026-08-06T02:26:00Z,paypal
PAY-5059,ORD-1063,515.62,2026-08-06T09:39:00Z,wire
PAY-5060,ORD-1064,555.07,2026-08-06T16:52:00Z,wire
PAY-5061,ORD-1065,223.63,2026-08-06T23:05:00Z,card
PAY-5062,ORD-1066,33.27,2026-08-06T06:18:00Z,card
PAY-5063,ORD-1067,677.72,2026-08-07T13:31:00Z,paypal
PAY-5064,ORD-1068,496.46,2026-08-07T20:44:00Z,card
PAY-5065,ORD-1069,66.91,2026-08-07T03:57:00Z,card
PAY-5066,ORD-1070,709.93,2026-08-07T10:10:00Z,wire
PAY-5067,ORD-1071,639.78,2026-08-07T17:23:00Z,paypal
PAY-5068,ORD-1072,499.29,2026-08-07T00:36:00Z,paypal
PAY-5069,ORD-1073,242.98,2026-08-07T07:49:00Z,card
PAY-5070,ORD-1074,337.19,2026-08-07T14:02:00Z,card
PAY-5071,ORD-1075,83.19,2026-08-07T21:15:00Z,paypal
PAY-5072,ORD-1076,-12.5,2026-08-07T04:28:00Z,paypal
PAY-5073,ORD-1077,844.7,2026-08-07T11:41:00Z,card
PAY-5074,ORD-1078,676.89,2026-08-08T18:54:00Z,card
PAY-5075,ORD-1079,598.48,2026-08-08T01:07:00Z,card
PAY-5076,ORD-1080,282.01,2026-08-08T08:20:00Z,wire
PAY-5077,ORD-1081,38.2,2026-08-08T15:33:00Z,paypal
PAY-5078,ORD-1082,752.83,2026-08-08T22:46:00Z,paypal
PAY-5079,ORD-1083,290.65,2026-08-08T05:59:00Z,card
PAY-5080,ORD-1084,835.34,2026-08-08T12:12:00Z,paypal
PAY-5081,ORD-1085,855.27,2026-08-08T19:25:00Z,wire
PAY-5082,ORD-1088,325.81,2026-08-08T16:04:00Z,card
PAY-5083,ORD-1089,200.26,2026-08-09T23:17:00Z,paypal
PAY-5084,ORD-1090,146.57,2026-08-09T06:30:00Z,card
PAY-5085,ORD-1091,273.8,2026-08-09T13:43:00Z,wire
PAY-5086,ORD-1092,606.52,2026-08-09T20:56:00Z,card
PAY-5087,ORD-1093,76.5,2026-08-09T03:09:00Z,paypal
PAY-5088,ORD-1094,767.2,2026-08-09T10:22:00Z,paypal
PAY-5089,ORD-1094,767.2,2026-08-09T10:22:00Z,card
PAY-5090,ORD-1095,669.74,2026-08-09T17:35:00Z,wire
PAY-5091,ORD-1096,153.14,2026-08-09T00:48:00Z,wire
PAY-5092,ORD-1097,885.07,2026-08-09T07:01:00Z,wire
PAY-5093,ORD-1098,587.53,2026-08-09T14:14:00Z,paypal
PAY-5094,ORD-1099,188.28,2026-08-09T21:27:00Z,wire
PAY-5095,ORD-1100,801.7,2026-08-10T04:40:00Z,wire
PAY-5096,ORD-1101,875.01,2026-08-10T11:53:00Z,card
PAY-5097,ORD-1102,626.67,2026-08-10T18:06:00Z,paypal
PAY-5098,ORD-1103,176.43,2026-08-10T01:19:00Z,wire
PAY-5099,ORD-1104,9.15,2026-08-10T08:32:00Z,card
PAY-5100,ORD-1105,641.8,2026-08-10T15:45:00Z,wire
PAY-5101,ORD-1106,400.61,2026-08-10T22:58:00Z,paypal
PAY-5102,ORD-1107,788.24,2026-08-10T05:11:00Z,paypal
PAY-5103,ORD-1108,284.55,2026-08-10T12:24:00Z,wire
PAY-5104,ORD-1109,227.42,2026-08-10T19:37:00Z,paypal
PAY-5105,ORD-1110,72.68,2026-08-10T02:50:00Z,paypal
PAY-5106,ORD-1112,536.99,2026-08-11T16:16:00Z,card
PAY-5107,ORD-1113,531.4,2026-08-11T23:29:00Z,wire
PAY-5108,ORD-1114,13.43,2026-08-11T06:42:00Z,card
PAY-5109,ORD-1115,71.03,2026-08-11T13:55:00Z,wire
PAY-5110,ORD-1117,103.55,2026-08-11T03:21:00Z,wire
PAY-5111,ORD-1118,836.99,2026-08-11T10:34:00Z,card
PAY-5112,ORD-1119,292.62,2026-08-11T17:47:00Z,card
